"Symbol","Description","Date","Time","Open","High","Low","Close","TotalVolume"
AAPL,NASDAQ,02.01.2020,08:00:00,295.890,296.750,295.435,296.700,175410
AAPL,NASDAQ,02.01.2020,09:00:00,296.690,297.950,295.190,297.700,4943464
AAPL,NASDAQ,02.01.2020,10:00:00,297.990,298.410,296.595,298.279,5116532
AAPL,NASDAQ,02.01.2020,11:00:00,298.130,298.750,297.450,298.300,3606384
AAPL,NASDAQ,02.01.2020,12:00:00,298.410,298.800,298.050,298.670,2128531
AAPL,NASDAQ,02.01.2020,13:00:00,298.707,298.730,298.100,298.382,1745811
AAPL,NASDAQ,02.01.2020,14:00:00,298.440,299.120,298.060,299.050,2553992
AAPL,NASDAQ,02.01.2020,15:00:00,299.080,300.420,299.040,300.400,5231253
AAPL,NASDAQ,02.01.2020,16:00:00,300.350,300.930,300.320,300.900,2613313
AAPL,NASDAQ,02.01.2020,17:00:00,300.940,300.940,300.700,300.760,36885
AAPL,NASDAQ,03.01.2020,18:00:00,300.880,300.900,300.760,300.850,4814
AAPL,NASDAQ,03.01.2020,08:00:00,298.180,298.600,297.310,297.450,291043
AAPL,NASDAQ,03.01.2020,09:00:00,297.520,300.570,296.500,299.246,6963174
AAPL,NASDAQ,03.01.2020,10:00:00,299.180,299.600,297.600,298.700,4689099
AAPL,NASDAQ,03.01.2020,11:00:00,298.670,299.840,297.940,299.345,3168964
AAPL,NASDAQ,03.01.2020,12:00:00,299.350,300.580,299.310,300.250,2979335
AAPL,NASDAQ,03.01.2020,13:00:00,300.220,300.390,298.770,299.302,2572303
AAPL,NASDAQ,03.01.2020,14:00:00,299.376,299.940,298.830,299.855,1833304
AAPL,NASDAQ,03.01.2020,15:00:00,299.810,300.040,297.530,297.813,4544372
AAPL,NASDAQ,03.01.2020,16:00:00,297.430,297.880,297.430,297.520,3528870
AAPL,NASDAQ,03.01.2020,17:00:00,297.600,297.660,297.470,297.650,26442
AAPL,NASDAQ,06.01.2020,18:00:00,297.630,297.690,297.630,297.660,5874
AAPL,NASDAQ,06.01.2020,08:00:00,294.600,295.000,294.280,294.610,191423
AAPL,NASDAQ,06.01.2020,09:00:00,294.520,296.990,292.750,296.975,5505779
AAPL,NASDAQ,06.01.2020,10:00:00,296.880,298.239,296.225,298.040,3899837
AAPL,NASDAQ,06.01.2020,11:00:00,298.070,299.640,297.650,298.440,3544519
AAPL,NASDAQ,06.01.2020,12:00:00,298.440,298.460,297.140,298.050,2286516
AAPL,NASDAQ,06.01.2020,13:00:00,298.155,299.370,298.040,299.240,1843053
AAPL,NASDAQ,06.01.2020,14:00:00,299.190,299.960,298.980,299.383,2357359
AAPL,NASDAQ,06.01.2020,15:00:00,299.380,299.870,298.940,299.820,3253468
AAPL,NASDAQ,06.01.2020,16:00:00,299.800,299.870,299.300,299.800,1438837
AAPL,NASDAQ,06.01.2020,17:00:00,299.520,299.690,299.440,299.500,24762
AAPL,NASDAQ,07.01.2020,18:00:00,299.540,299.560,299.500,299.500,800
AAPL,NASDAQ,07.01.2020,08:00:00,300.520,300.520,299.390,299.500,136389
AAPL,NASDAQ,07.01.2020,09:00:00,299.600,300.900,297.750,298.980,4901157
AAPL,NASDAQ,07.01.2020,10:00:00,298.890,299.570,297.480,299.546,4109898
AAPL,NASDAQ,07.01.2020,11:00:00,299.380,299.883,298.550,298.990,2483427
AAPL,NASDAQ,07.01.2020,12:00:00,298.950,299.650,298.650,299.517,1560223
AAPL,NASDAQ,07.01.2020,13:00:00,299.574,300.410,299.574,299.960,1762839
AAPL,NASDAQ,07.01.2020,14:00:00,300.075,300.100,298.960,298.990,1551558
AAPL,NASDAQ,07.01.2020,15:00:00,299.010,299.564,297.950,298.150,2910174
AAPL,NASDAQ,07.01.2020,16:00:00,298.390,298.390,297.390,297.840,2132363
AAPL,NASDAQ,07.01.2020,17:00:00,297.850,298.390,297.700,297.850,14163
AAPL,NASDAQ,08.01.2020,18:00:00,297.850,298.000,295.420,296.000,69518
AAPL,NASDAQ,08.01.2020,08:00:00,298.410,299.130,297.750,298.180,121528
AAPL,NASDAQ,08.01.2020,09:00:00,298.179,299.100,296.930,298.250,3315415
AAPL,NASDAQ,08.01.2020,10:00:00,298.380,298.760,297.370,297.880,2743019
AAPL,NASDAQ,08.01.2020,11:00:00,297.730,300.210,297.500,300.050,4281672
AAPL,NASDAQ,08.01.2020,12:00:00,300.090,303.040,300.080,302.735,5012937
