"Symbol","Description","Date","Time","Open","High","Low","Close","TotalVolume"
AAPL,NASDAQ,02.01.2020,09:33:00,295.490,295.810,295.190,295.705,172261
AAPL,NASDAQ,02.01.2020,17:01:00,300.940,300.940,300.900,300.900,518
AAPL,NASDAQ,03.01.2020,08:01:00,298.010,298.190,295.650,298.050,123836
AAPL,NASDAQ,03.01.2020,12:52:00,300.500,300.580,300.243,300.243,96290
AAPL,NASDAQ,06.01.2020,09:31:00,293.790,293.990,292.750,293.637,1221180
AAPL,NASDAQ,06.01.2020,14:15:00,299.860,299.960,299.800,299.930,57542
AAPL,NASDAQ,07.01.2020,18:29:00,295.500,295.700,295.420,295.600,13663
AAPL,NASDAQ,07.01.2020,09:35:00,300.570,300.900,300.570,300.850,166010
AAPL,NASDAQ,08.01.2020,09:30:00,297.230,297.270,296.930,297.170,17904
AAPL,NASDAQ,08.01.2020,15:42:00,304.410,304.440,304.230,304.270,136397
AAPL,NASDAQ,09.01.2020,08:01:00,306.000,306.580,305.540,306.260,38713
AAPL,NASDAQ,09.01.2020,11:51:00,310.320,310.430,310.090,310.305,163116
AAPL,NASDAQ,10.01.2020,12:25:00,308.396,308.480,308.250,308.471,104386
AAPL,NASDAQ,10.01.2020,10:07:00,312.593,312.670,312.440,312.571,129843
AAPL,NASDAQ,13.01.2020,10:45:00,311.455,311.480,311.150,311.330,92824
AAPL,NASDAQ,13.01.2020,18:24:00,317.780,317.790,317.650,317.700,1143
AAPL,NASDAQ,14.01.2020,18:28:00,312.240,312.240,312.130,312.150,2388
AAPL,NASDAQ,14.01.2020,08:01:00,317.020,317.770,316.490,317.250,62837
AAPL,NASDAQ,15.01.2020,15:34:00,310.145,310.160,309.550,309.680,472364
AAPL,NASDAQ,15.01.2020,10:01:00,315.357,315.500,314.940,315.060,178572
AAPL,NASDAQ,16.01.2020,11:24:00,312.400,312.438,312.090,312.262,71588
AAPL,NASDAQ,16.01.2020,10:11:00,315.549,315.700,315.446,315.520,91068
AAPL,NASDAQ,17.01.2020,11:15:00,315.400,315.470,315.000,315.200,153790
AAPL,NASDAQ,17.01.2020,16:06:00,318.750,318.780,318.740,318.750,7324
AAPL,NASDAQ,21.01.2020,15:59:00,316.360,316.730,316.000,316.640,230006
AAPL,NASDAQ,21.01.2020,10:02:00,318.560,319.020,318.560,318.927,178576
AAPL,NASDAQ,22.01.2020,16:47:00,317.300,317.350,317.200,317.200,2225
AAPL,NASDAQ,22.01.2020,14:59:00,319.960,319.990,319.900,319.939,72204
AAPL,NASDAQ,23.01.2020,09:37:00,316.230,316.330,315.650,316.190,148463
AAPL,NASDAQ,23.01.2020,18:04:00,319.730,319.750,319.730,319.740,2845
AAPL,NASDAQ,24.01.2020,15:44:00,317.610,317.700,317.519,317.640,82877
AAPL,NASDAQ,24.01.2020,11:09:00,323.150,323.330,323.130,323.200,130858
AAPL,NASDAQ,27.01.2020,16:00:00,309.020,309.230,304.880,308.960,308930
AAPL,NASDAQ,27.01.2020,08:01:00,311.200,312.400,310.620,311.330,63659
AAPL,NASDAQ,28.01.2020,08:01:00,311.900,312.900,311.200,312.310,81699
AAPL,NASDAQ,28.01.2020,16:33:00,326.310,327.900,326.250,327.200,322905
AAPL,NASDAQ,29.01.2020,10:06:00,321.950,322.310,321.380,322.306,245065
AAPL,NASDAQ,29.01.2020,14:05:00,327.440,327.850,327.390,327.800,268426
AAPL,NASDAQ,30.01.2020,11:01:00,318.980,319.507,318.750,319.383,217194
AAPL,NASDAQ,30.01.2020,16:03:00,324.500,324.760,324.420,324.560,5131
AAPL,NASDAQ,31.01.2020,15:44:00,308.640,309.630,308.290,309.350,382718
AAPL,NASDAQ,31.01.2020,08:01:00,322.320,322.750,322.000,322.300,31296
AAPL,NASDAQ,03.02.2020,09:31:00,304.290,304.320,302.220,303.441,1926687
AAPL,NASDAQ,03.02.2020,11:41:00,313.080,313.490,312.890,313.420,119602
AAPL,NASDAQ,04.02.2020,08:36:00,315.480,315.480,308.660,315.410,30395
AAPL,NASDAQ,04.02.2020,16:43:00,318.850,319.650,318.850,319.600,20471
AAPL,NASDAQ,05.02.2020,10:42:00,319.284,319.330,318.950,319.090,155924
AAPL,NASDAQ,05.02.2020,09:32:00,324.416,324.760,324.180,324.360,305327
AAPL,NASDAQ,06.02.2020,09:41:00,320.674,321.080,320.265,320.985,119974
AAPL,NASDAQ,06.02.2020,17:46:00,325.730,325.730,325.730,325.730,100
AAPL,NASDAQ,07.02.2020,15:24:00,318.380,318.393,318.000,318.350,80892
AAPL,NASDAQ,07.02.2020,08:31:00,323.910,324.400,323.850,324.130,13203
AAPL,NASDAQ,10.02.2020,09:31:00,314.180,316.470,313.850,315.885,991502
AAPL,NASDAQ,10.02.2020,16:28:00,321.190,321.790,321.050,321.090,2641
AAPL,NASDAQ,11.02.2020,15:20:00,318.975,319.050,318.710,318.890,72186
AAPL,NASDAQ,11.02.2020,09:31:00,323.430,323.900,323.370,323.730,582038
AAPL,NASDAQ,12.02.2020,08:01:00,321.000,321.210,320.600,321.120,22926
AAPL,NASDAQ,12.02.2020,16:17:00,327.230,327.350,327.230,327.300,6517
AAPL,NASDAQ,13.02.2020,08:01:00,323.300,323.845,322.400,323.630,64290
AAPL,NASDAQ,13.02.2020,12:20:00,326.215,326.220,326.040,326.070,42190
AAPL,NASDAQ,14.02.2020,10:14:00,323.096,323.210,322.850,322.986,86839
AAPL,NASDAQ,14.02.2020,08:01:00,326.200,326.400,326.000,326.220,12193
AAPL,NASDAQ,18.02.2020,08:01:00,314.400,316.900,313.630,316.900,125729
AAPL,NASDAQ,18.02.2020,14:44:00,319.622,319.750,319.573,319.630,67251
AAPL,NASDAQ,19.02.2020,09:25:00,320.540,320.590,319.000,320.590,131148
AAPL,NASDAQ,19.02.2020,11:20:00,324.520,324.570,324.310,324.351,44566
AAPL,NASDAQ,20.02.2020,11:33:00,319.580,319.910,318.210,319.650,323069
AAPL,NASDAQ,20.02.2020,09:34:00,324.418,324.650,324.075,324.075,124145
AAPL,NASDAQ,21.02.2020,14:26:00,310.614,310.880,310.500,310.850,95694
AAPL,NASDAQ,21.02.2020,09:34:00,320.081,320.450,320.000,320.040,110485
AAPL,NASDAQ,24.02.2020,09:31:00,297.070,297.500,289.230,289.280,3964550
AAPL,NASDAQ,24.02.2020,09:52:00,302.978,304.180,302.520,304.180,246559
AAPL,NASDAQ,25.02.2020,15:40:00,286.635,286.645,286.130,286.391,163286
AAPL,NASDAQ,25.02.2020,09:32:00,301.935,302.530,301.160,302.316,302950
AAPL,NASDAQ,26.02.2020,09:29:00,288.640,288.800,285.350,286.920,122087
AAPL,NASDAQ,26.02.2020,11:30:00,297.860,297.880,297.450,297.550,126721
AAPL,NASDAQ,27.02.2020,18:02:00,270.800,270.960,269.000,269.000,5886
AAPL,NASDAQ,27.02.2020,08:01:00,288.000,288.000,283.300,283.500,71806
AAPL,NASDAQ,28.02.2020,09:31:00,257.270,261.990,256.370,261.825,3708700
AAPL,NASDAQ,28.02.2020,11:44:00,276.512,278.410,276.390,277.990,447864
AAPL,NASDAQ,02.03.2020,08:01:00,275.500,278.510,274.500,278.350,109020
AAPL,NASDAQ,02.03.2020,15:59:00,297.330,301.440,297.190,298.220,585270
AAPL,NASDAQ,03.03.2020,18:09:00,285.800,285.960,285.530,285.800,1434
AAPL,NASDAQ,03.03.2020,09:29:00,302.640,304.150,302.620,303.650,94298
AAPL,NASDAQ,04.03.2020,09:56:00,293.190,294.120,293.130,293.884,174011
AAPL,NASDAQ,04.03.2020,16:00:00,302.900,303.400,302.500,302.760,881675
AAPL,NASDAQ,05.03.2020,15:56:00,292.170,292.570,291.410,292.230,219451
AAPL,NASDAQ,05.03.2020,11:20:00,299.380,299.550,299.180,299.180,126332
AAPL,NASDAQ,06.03.2020,08:01:00,282.200,285.040,280.240,282.250,75479
AAPL,NASDAQ,06.03.2020,15:58:00,289.610,290.820,289.560,289.830,441071
AAPL,NASDAQ,09.03.2020,09:27:00,261.330,261.600,261.300,261.600,14371
AAPL,NASDAQ,09.03.2020,12:13:00,277.240,278.090,277.100,277.880,173088
AAPL,NASDAQ,10.03.2020,11:39:00,269.900,269.900,269.370,269.570,109789
AAPL,NASDAQ,10.03.2020,16:00:00,283.990,286.440,283.990,285.690,936171
AAPL,NASDAQ,11.03.2020,15:59:00,276.210,276.560,271.860,276.130,327974
AAPL,NASDAQ,11.03.2020,12:20:00,280.870,281.220,280.430,280.665,212911
AAPL,NASDAQ,12.03.2020,17:49:00,238.250,238.500,237.800,238.120,42910
AAPL,NASDAQ,12.03.2020,13:06:00,267.370,270.000,267.300,269.871,403785
AAPL,NASDAQ,13.03.2020,11:50:00,253.230,253.750,252.950,253.105,198696
AAPL,NASDAQ,13.03.2020,16:00:00,274.410,279.920,274.320,278.060,1553801
AAPL,NASDAQ,16.03.2020,08:55:00,238.980,238.980,238.520,238.730,4676
AAPL,NASDAQ,16.03.2020,11:31:00,258.430,259.080,258.301,258.520,177995
AAPL,NASDAQ,17.03.2020,10:04:00,239.030,240.060,238.400,239.357,401619
AAPL,NASDAQ,17.03.2020,12:14:00,257.140,257.610,256.940,257.420,170546
AAPL,NASDAQ,18.03.2020,08:01:00,237.000,239.850,236.410,239.780,72927
AAPL,NASDAQ,18.03.2020,16:00:00,245.860,250.000,245.750,249.000,1097925
AAPL,NASDAQ,19.03.2020,08:28:00,241.900,241.900,241.500,241.520,559
AAPL,NASDAQ,19.03.2020,10:16:00,252.020,252.840,251.000,251.210,275896
AAPL,NASDAQ,20.03.2020,15:58:00,229.465,229.700,228.000,228.020,860372
AAPL,NASDAQ,20.03.2020,08:01:00,254.690,254.690,250.010,252.200,49207
AAPL,NASDAQ,23.03.2020,11:47:00,213.048,213.565,212.610,213.550,161567
AAPL,NASDAQ,23.03.2020,08:25:00,238.000,238.100,236.620,236.620,17089
AAPL,NASDAQ,24.03.2020,08:20:00,232.150,232.150,231.230,231.600,7795
AAPL,NASDAQ,24.03.2020,18:30:00,248.300,248.500,248.300,248.500,2112
AAPL,NASDAQ,25.03.2020,10:15:00,244.750,245.750,244.300,245.170,299597
AAPL,NASDAQ,25.03.2020,09:41:00,257.870,258.250,256.940,257.060,475525
AAPL,NASDAQ,26.03.2020,08:31:00,240.650,242.600,240.400,242.600,23039
AAPL,NASDAQ,26.03.2020,16:00:00,256.590,258.680,256.510,258.480,1165626
AAPL,NASDAQ,27.03.2020,16:15:00,247.400,247.640,247.000,247.640,19489
AAPL,NASDAQ,27.03.2020,15:28:00,255.240,255.870,255.170,255.841,172192
AAPL,NASDAQ,30.03.2020,08:01:00,247.326,249.640,247.310,248.800,23469
AAPL,NASDAQ,30.03.2020,15:55:00,253.440,255.520,253.400,255.085,495578
AAPL,NASDAQ,31.03.2020,15:25:00,252.640,252.650,252.000,252.000,120618
AAPL,NASDAQ,31.03.2020,10:34:00,262.453,262.490,261.844,262.235,142474
AAPL,NASDAQ,01.04.2020,15:41:00,239.220,239.930,239.130,239.620,148477
AAPL,NASDAQ,01.04.2020,09:38:00,247.900,248.720,247.790,248.370,165012
AAPL,NASDAQ,02.04.2020,14:20:00,237.635,237.720,236.900,237.000,134158
AAPL,NASDAQ,02.04.2020,16:06:00,245.490,245.720,245.490,245.500,10151
AAPL,NASDAQ,03.04.2020,15:44:00,239.020,239.200,238.974,239.112,119574
AAPL,NASDAQ,03.04.2020,08:01:00,242.800,245.800,242.300,245.102,9627
AAPL,NASDAQ,06.04.2020,08:10:00,249.250,249.400,249.084,249.400,1183
AAPL,NASDAQ,06.04.2020,15:59:00,262.930,263.110,262.180,262.750,736360
AAPL,NASDAQ,07.04.2020,16:26:00,258.680,258.680,256.965,258.560,4009
AAPL,NASDAQ,07.04.2020,09:31:00,270.800,271.700,269.320,269.420,1618010
AAPL,NASDAQ,08.04.2020,08:01:00,261.150,262.870,260.700,262.100,23315
AAPL,NASDAQ,08.04.2020,15:55:00,266.870,267.370,266.700,266.970,339677
AAPL,NASDAQ,09.04.2020,08:19:00,263.440,263.500,262.355,262.355,8187
AAPL,NASDAQ,09.04.2020,09:21:00,269.900,270.300,269.880,270.150,7563
AAPL,NASDAQ,13.04.2020,11:10:00,266.050,266.100,265.830,266.018,61819
AAPL,NASDAQ,13.04.2020,18:11:00,273.950,274.150,273.950,274.150,8081
AAPL,NASDAQ,14.04.2020,08:01:00,277.600,278.380,277.270,278.150,31869
AAPL,NASDAQ,14.04.2020,15:50:00,287.580,288.250,287.555,287.960,134020
AAPL,NASDAQ,15.04.2020,08:30:00,282.620,284.420,279.600,282.000,80620
AAPL,NASDAQ,15.04.2020,08:02:00,284.440,287.750,284.240,284.240,4459
AAPL,NASDAQ,16.04.2020,12:34:00,283.170,283.170,282.350,282.590,77848
AAPL,NASDAQ,16.04.2020,18:25:00,293.780,293.900,293.780,293.800,5395
AAPL,NASDAQ,17.04.2020,14:44:00,277.310,277.360,276.860,277.320,128194
